date,year,home_team,away_team,elo_diff,host_advantage,home_is_host,away_is_host,label,tournament
2010-06-11,2010,South Africa,Mexico,-207.49218747858913,0,0,0,D,FIFA World Cup
2010-06-11,2010,Uruguay,France,-77.54415842591538,0,0,0,D,FIFA World Cup
2010-06-12,2010,Argentina,Nigeria,75.42688901901192,0,0,0,H,FIFA World Cup
2010-06-12,2010,England,United States,115.09998341365986,0,0,0,D,FIFA World Cup
2010-06-12,2010,South Korea,Greece,65.40529503343669,0,0,0,H,FIFA World Cup
2010-06-13,2010,Algeria,Slovenia,17.530612569043114,0,0,0,A,FIFA World Cup
2010-06-13,2010,Germany,Australia,98.13310663321954,0,0,0,H,FIFA World Cup
2010-06-13,2010,Serbia,Ghana,48.0619185933806,0,0,0,A,FIFA World Cup
2010-06-14,2010,Italy,Paraguay,167.67888732519373,0,0,0,D,FIFA World Cup
2010-06-14,2010,Japan,Cameroon,-1.2894174198083874,0,0,0,H,FIFA World Cup
2010-06-14,2010,Netherlands,Denmark,222.9050070839021,0,0,0,H,FIFA World Cup
2010-06-15,2010,Brazil,North Korea,386.6320204897586,0,0,0,H,FIFA World Cup
2010-06-15,2010,Ivory Coast,Portugal,-42.55582326415333,0,0,0,D,FIFA World Cup
2010-06-15,2010,New Zealand,Slovakia,-26.62259452171247,0,0,0,D,FIFA World Cup
2010-06-16,2010,Honduras,Chile,-58.015761817315706,0,0,0,A,FIFA World Cup
2010-06-16,2010,South Africa,Uruguay,-125.16672303086307,0,0,0,A,FIFA World Cup
2010-06-16,2010,Spain,Switzerland,287.7969012494493,0,0,0,A,FIFA World Cup
2010-06-17,2010,Argentina,South Korea,72.45155339718985,0,0,0,H,FIFA World Cup
2010-06-17,2010,France,Mexico,0.9913712908985417,0,0,0,A,FIFA World Cup
2010-06-17,2010,Greece,Nigeria,-79.81636825283113,0,0,0,H,FIFA World Cup
2010-06-18,2010,England,Algeria,306.36313206615455,0,0,0,D,FIFA World Cup
2010-06-18,2010,Germany,Serbia,177.7380682986668,0,0,0,A,FIFA World Cup
2010-06-18,2010,Slovenia,United States,-179.56416108989106,0,0,0,D,FIFA World Cup
2010-06-19,2010,Cameroon,Denmark,34.13355240543092,0,0,0,A,FIFA World Cup
2010-06-19,2010,Ghana,Australia,-31.430537343750075,0,0,0,D,FIFA World Cup
2010-06-19,2010,Netherlands,Japan,175.9542781057453,0,0,0,H,FIFA World Cup
2010-06-20,2010,Brazil,Ivory Coast,225.76092148789917,0,0,0,H,FIFA World Cup
2010-06-20,2010,Italy,New Zealand,295.12201254385536,0,0,0,D,FIFA World Cup
2010-06-20,2010,Slovakia,Paraguay,-121.81311871897219,0,0,0,A,FIFA World Cup
2010-06-21,2010,Chile,Switzerland,31.33375617891943,0,0,0,H,FIFA World Cup
2010-06-21,2010,Portugal,North Korea,206.34962966087596,0,0,0,H,FIFA World Cup
2010-06-21,2010,Spain,Honduras,280.67751415618955,0,0,0,H,FIFA World Cup
2010-06-22,2010,Greece,Argentina,-189.98323036505462,0,0,0,A,FIFA World Cup
2010-06-22,2010,Mexico,Uruguay,67.87500082299607,0,0,0,A,FIFA World Cup
2010-06-22,2010,Nigeria,South Korea,-31.135482234576557,0,0,0,D,FIFA World Cup
2010-06-22,2010,South Africa,France,-193.82415314088348,0,0,0,H,FIFA World Cup
2010-06-23,2010,Australia,Serbia,-2.3608146807516732,0,0,0,H,FIFA World Cup
2010-06-23,2010,Ghana,Germany,-149.07394251969276,0,0,0,A,FIFA World Cup
2010-06-23,2010,Slovenia,England,-258.2259804466446,0,0,0,A,FIFA World Cup
2010-06-23,2010,United States,Algeria,180.39893493083719,0,0,0,H,FIFA World Cup
2010-06-24,2010,Cameroon,Netherlands,-247.4286068916408,0,0,0,A,FIFA World Cup
2010-06-24,2010,Denmark,Japan,-40.377286749780296,0,0,0,A,FIFA World Cup
2010-06-24,2010,Paraguay,New Zealand,151.45383803243385,0,0,0,D,FIFA World Cup
2010-06-24,2010,Slovakia,Italy,-277.6356521816663,0,0,0,H,FIFA World Cup
2010-06-25,2010,Chile,Spain,-181.02635454124447,0,0,0,A,FIFA World Cup
2010-06-25,2010,North Korea,Ivory Coast,-172.16990588465637,0,0,0,A,FIFA World Cup
2010-06-25,2010,Portugal,Brazil,-184.5791284407942,0,0,0,D,FIFA World Cup
2010-06-25,2010,Switzerland,Honduras,51.81077627208447,0,0,0,D,FIFA World Cup
2010-06-26,2010,Uruguay,South Korea,45.815025669137185,0,0,0,H,FIFA World Cup
2010-06-26,2010,United States,Ghana,68.07228193983838,0,0,0,A,FIFA World Cup
2010-06-27,2010,Argentina,Mexico,78.93234176378678,0,0,0,H,FIFA World Cup
2010-06-27,2010,Germany,England,10.22800667907859,0,0,0,H,FIFA World Cup
2010-06-28,2010,Brazil,Chile,210.587343368657,0,0,0,H,FIFA World Cup
2010-06-28,2010,Netherlands,Slovakia,356.08459369134994,0,0,0,H,FIFA World Cup
2010-06-29,2010,Paraguay,Japan,-57.464060550217255,0,0,0,D,FIFA World Cup
2010-06-29,2010,Spain,Portugal,156.4243897643746,0,0,0,H,FIFA World Cup
2010-07-02,2010,Netherlands,Brazil,-41.0551151708903,0,0,0,H,FIFA World Cup
2010-07-02,2010,Uruguay,Ghana,81.14810603792557,0,0,0,D,FIFA World Cup
2010-07-03,2010,Argentina,Germany,3.167444211623433,0,0,0,A,FIFA World Cup
2010-07-03,2010,Paraguay,Spain,-265.1080527651434,0,0,0,A,FIFA World Cup
2010-07-06,2010,Uruguay,Netherlands,-181.59122546621575,0,0,0,A,FIFA World Cup
2010-07-07,2010,Germany,Spain,-52.49055316198633,0,0,0,A,FIFA World Cup
2010-07-10,2010,Uruguay,Germany,-135.15587461665996,0,0,0,A,FIFA World Cup
2010-07-11,2010,Netherlands,Spain,-19.24763103097439,0,0,0,A,FIFA World Cup
2014-06-12,2014,Brazil,Croatia,261.4733776162452,1,1,0,H,FIFA World Cup
2014-06-13,2014,Chile,Australia,39.007060018892844,0,0,0,H,FIFA World Cup
2014-06-13,2014,Mexico,Cameroon,89.91589063744664,0,0,0,H,FIFA World Cup
2014-06-13,2014,Spain,Netherlands,122.20872040628046,0,0,0,A,FIFA World Cup
2014-06-14,2014,Colombia,Greece,47.04572858200777,0,0,0,H,FIFA World Cup
2014-06-14,2014,England,Italy,16.079500386101472,0,0,0,A,FIFA World Cup
2014-06-14,2014,Ivory Coast,Japan,29.74914163658309,0,0,0,H,FIFA World Cup
2014-06-14,2014,Uruguay,Costa Rica,124.24633770668197,0,0,0,A,FIFA World Cup
2014-06-15,2014,Argentina,Bosnia and Herzegovina,227.47565378525428,0,0,0,H,FIFA World Cup
2014-06-15,2014,France,Honduras,138.448309996312,0,0,0,H,FIFA World Cup
2014-06-15,2014,Switzerland,Ecuador,22.708288983042394,0,0,0,H,FIFA World Cup
2014-06-16,2014,Germany,Portugal,131.1554803158574,0,0,0,H,FIFA World Cup
2014-06-16,2014,Ghana,United States,-39.49651519801637,0,0,0,A,FIFA World Cup
2014-06-16,2014,Iran,Nigeria,57.458734029461766,0,0,0,D,FIFA World Cup
2014-06-17,2014,Belgium,Algeria,97.13066103656661,0,0,0,H,FIFA World Cup
2014-06-17,2014,Brazil,Mexico,234.05575904979764,1,1,0,D,FIFA World Cup
2014-06-17,2014,Russia,South Korea,56.849094136517806,0,0,0,D,FIFA World Cup
2014-06-18,2014,Australia,Netherlands,-227.5148106471902,0,0,0,A,FIFA World Cup
2014-06-18,2014,Cameroon,Croatia,-77.25270264017831,0,0,0,A,FIFA World Cup
2014-06-18,2014,Spain,Chile,163.77003871647594,0,0,0,A,FIFA World Cup
2014-06-19,2014,Colombia,Ivory Coast,-6.856797104340103,0,0,0,H,FIFA World Cup
2014-06-19,2014,Japan,Greece,48.148950059225854,0,0,0,D,FIFA World Cup
2014-06-19,2014,Uruguay,England,-57.31968577533712,0,0,0,H,FIFA World Cup
2014-06-20,2014,Honduras,Ecuador,-68.08094538060595,0,0,0,A,FIFA World Cup
2014-06-20,2014,Italy,Costa Rica,126.75001160775264,0,0,0,A,FIFA World Cup
2014-06-20,2014,Switzerland,France,-53.76403684179513,0,0,0,A,FIFA World Cup
2014-06-21,2014,Argentina,Iran,147.9409569925822,0,0,0,H,FIFA World Cup
2014-06-21,2014,Germany,Ghana,275.49017456373076,0,0,0,D,FIFA World Cup
2014-06-21,2014,Nigeria,Bosnia and Herzegovina,45.637730169609995,0,0,0,H,FIFA World Cup
2014-06-22,2014,Belgium,Russia,-25.42267324708405,0,0,0,H,FIFA World Cup
2014-06-22,2014,South Korea,Algeria,101.29136363547445,0,0,0,A,FIFA World Cup
2014-06-22,2014,United States,Portugal,-24.60304884765992,0,0,0,D,FIFA World Cup
2014-06-23,2014,Australia,Spain,-221.3914711214236,0,0,0,A,FIFA World Cup
2014-06-23,2014,Brazil,Cameroon,366.9649911533163,1,1,0,H,FIFA World Cup
2014-06-23,2014,Croatia,Mexico,-29.416117911828906,0,0,0,A,FIFA World Cup
2014-06-23,2014,Netherlands,Chile,100.53836165222333,0,0,0,H,FIFA World Cup
2014-06-24,2014,Costa Rica,England,-50.720661168395964,0,0,0,D,FIFA World Cup
2014-06-24,2014,Greece,Ivory Coast,-91.33271541006911,0,0,0,H,FIFA World Cup
2014-06-24,2014,Italy,Uruguay,32.83113521207656,0,0,0,A,FIFA World Cup
2014-06-24,2014,Japan,Colombia,-82.6244193911009,0,0,0,A,FIFA World Cup
